"#
int","id
string? (Primary Key)","...      createdAt                                      ...
date?","bssid                             ...
string?","...   ssid                    ...
string?","mac_address               ...
string?","X
double","...      y
double"
0,547d3698-c255-4a35-ac12-eefa8aab1f23,2023-05-17T05:19:40.9412,94:64:24:9f:03:e2,elevator_n109,94:64:24:9f:03:e2,1.733,5.4
1,32a046dc-69fe-4eaa-90bd-caf8043611d5,2023-05-17T05:20:54.5092,94:64:24:9f:12:20,artechne_n1,94:64:24:9f:12:20,1.1,0
2,8bbeab6e-b679-428d-8efd-1c3e3f4fec58,2023-05-17T05:28:43.3672,94:64:24:9e:72:d2,2elevator,94:64:24:9e:72:d2,23.1,5.7
3,5b8342c1-b484-4385-9b6d-e31fa4c01c81,2023-05-17T05:42:23.0272,94:64:24:a0:ce:62,404,94:64:24:a0:ce:62,57.9,23.1177
4,b5ddb91f-e73e-4229-bfd4-12112040ff 52,2023-05-17T05:44:20.9642,94:64:24:9e:7e:40,405,94:64:24:9e:7e:40,66,23.1179
5,732c1bb0-2ac4-4b0d-ab5f-865f6e6a2673,2023-05-17T05:46:41.1292,94:64:24:9e:24:30,412,94:64:24:9e:24:30,69,0
6,3d1588e2-a81f-4f1c-848a-1dfd77a26c3d,2023-05-17T06:00:03.4362,94:64:24:a0:1f:90,421,94:64:24:a1:6f:72,18.7,0
7,bb68ba3c-5995-4717-ba11-9a97e2ea669a,2023-05-17T06:03:39.4212,94:64:24:9e:3f:00,425,94:64:24:9e:3f:00,5.5,0
8,5314dbae-1d1f-441e-ae29-0df9670e99f3,2023-05-17T06:04:26.4482,94:64:24:9e:3e:e0,424,94:64:24:9e:3e:e0,8.8,0
9,8ddd42db-87f6-4794-b8d4-880f14980f66,2023-05-17T06:06:31.4072,94:64:24:a0:1f:70,423,94:64:24:a0:1f:70,12.1,0
10,737d307f-0e27-4111-938c-fe1b21eefb09,2023-05-17T06:08:40.7572,10:0c:6b:2e:e9:02,422,10:0c:6b:2e:e9:02,15.4,0
11,9f42710e-e17f-4a29-a249-a71791d4e39b,2023-05-17T06:10:34.7492,b0:6e:bf:6a:a7:00,420,b0:6e:bf:6a:a7:00,21,0
12,8f5961b0-a7f8-4433-80ed-8a4637cff72a,2023-05-17T06:11:26.5102,ba:16:5f:7d:45:a8,419,ba:16:5f:7d:45:a8,24.3,0
13,8e516336-1d31-4908-bc0b-0fb3b2b4a40f,2023-05-18T04:30:29.9412,94:64:24:a0:3c:e2,413,94:64:24:a0:3c:e2,61.4,0
14,6df5a73f-7f52-4f49-bba6-fbee739541ee,2023-05-18T04:32:21.6782,88:36:6c:83:5c:e2,416,88:36:6c:83:5c:e2,35.2,0
15,68796c6e-eff3-4d71-9200-375b48afd0e8,2023-05-18T04:37:00.6532,94:64:24:9e:8a:72,418,94:64:24:9e:8a:72,28.6,0
16,1dce9c1f-786f-4c95-b6fc-d64463911df0,2023-05-18T04:45:37.7692,94:64:24:9e:05:72,427,94:64:24:9e:05:72,5.9658,6.6012
17,4f5a9a0e-822d-4f20-a03f-264dcb702dbe,2023-05-18T04:48:27.1472,94:64:24:a1:22:80,429,94:64:24:a1:22:80,12.315,8.403
18,f06cef94-bb6b-4340-a3e4-eac745c82349,2023-05-18T04:49:15.1552,94:64:24:9e:2d:02,431,94:64:24:9e:2d:02,18.6642,10.2048
19,5281cc81-4777-462d-8b6c-044e94d5ebc2,2023-05-18T04:49:53.3042,94:64:24:9e:72:f2,433,94:64:24:9e:72:f2,25.0134,12.0066
20,4cece8b4-aae3-4d6b-a604-80038871e0ba,2023-05-18T04:50:39.3522,94:64:24:9e:72:f2,435,94:64:24:9e:72:f2,31.3626,13.8084
21,0c993f62-2cb2-471c-8e1f-e4c85b3a646a,2023-05-18T04:54:06.5942,94:64:24:9d:d8:52,406,94:64:24:9d:d8:52,74.7488,28.1207
22,e155ee80-9736-4534-948f-b0f9c5e7cad3,2023-05-18T04:56:19.9992,94:64:24:9f:82:22,407,94:64:24:9f:82:22,85.642,25.4
23,878bcef4-020c-45c3-a111-241450723c42,2023-05-18T04:58:58.8472,94:64:24:9f:f9:82,408,94:64:24:9f:f9:82,85.642,18.8
24,4ca75330-e1fc-4164-bc1d-1cd49aecec94,45064.20936,94:64:24:9f:ba:92,410,94:64:24:9f:ba:92,85.642,5.6
25,1fe5ecdd-74f9-454b-8621-c23034f39f82,45064.21064,94:64:24:9f:c4:42,414,94:64:24:9f:c4:42,51.5,0
26,c20cbf6f-28e1-436e-af93-45c2c49d848b,45064.28219,94:64:24:9f:fb:32,415,94:64:24:9f:fb:32,41.8,0
27,f8e0f43e-a50f-4514-898c-51a309b93f91,45067.52456,94:64:24:9f:2a:f2,5f1ele,94:64:24:9f:2a:f2,0,0
28,44b65b20-107a-415a-971c-898e1af198f7,45067.52748,94:64:24:9f:e1:30,5f_artechne-,94:64:24:9f:e1:30,0,0
29,f96ab9a3-8651-46fd-8e9d-12ab6a159b73,45067.52888,94:64:24:a0:fd:00,5al_ele,94:64:24:a0:fc:e0,0,0
